index,tweet,label
10000,निर्वाचन आयोगले गति छाड्यो,0
10001,जीतपुरसिमराः एमालेबाट चौधरी र अधिकारीले गरे उम्मेदवारी दर्ता,0
10002,दलहरुको घरदैलो कार्यक्रममा ठुलो ठुलो आवाजमा स्पिकरमा आफ्नो गित बजाउँदा कतै  परीक्षाको तयारी गरिराखेको लाइ हो-हल्ला भइरहेको त छैन?? यस तर्फ कसले ध्यान दिने! तिनीहरूको भविष्य बनाउन खोजेका नेता वा निर्वाचन आयोग ⁉,0
10003," म पनि त्यही सोचेको, अब पनि भुई कटहर लाई भोट नहालेर भो!!!",0
10006,शिक्षकबाट राजीनामा नदिई उपमेयरमा उम्मेदवारी दर्ता,0
10008,चुनावी षडयन्त्रमा एमाले जत्तिको माहिर कोही हुन्न।विद्या भण्डारीको सेतोसारीमा आफैंले रातभरि रंग र गोबर पोतेर कांग्रेसले गर्यो भन्दै भांडभैलो मच्चाएर सहानुभूति भोटल्याई चुनाव जिताएका हौं भन्ने निर्लज्ज मान्छे हुन् यी स्थापित।अव यिनका जातीय कुरा समाजले सुन्दैन।बालेनले नै जित्नुपर्छ।,0
10009,बिहीबार डडेलधुरामा पत्रकार सम्मेलन गर्दै मल्लले प्रदेश सभा सदस्यबाट राजीनामा गर्ने घोषणा गरेका हुन् ।पार्टी कारबाहीपछि कर्ण मल्लले गरे प्रदेश सांसदबाट राजीनामा घोषणा,0
10010,सहि पनि एमाले मै पनि एमाले हो,0
10012,"नेकपा काङ्ग्रेसका सभापति तथा प्रधानमन्त्रिका जागिरे श्रि कामरेड देउ बा कै घरमा जना हलिया छन्, तर अझै लालपुर्जा पाउन सकेका छैनन्, के हो यो खाङ्ग्रेसी भाईबैनी हो? कामरेड फण्डित श्रि अर्को जनआन्दोलन आवश्यक परेन अब?? ",0
10013," दमक मेयर : सूर्य , हलो: उपमेयर: सूर्य , दल रूख: ",0
10014,"देश विदेशमा छरिएर रहनुभएका सम्पूर्ण नेपाली हरुलाई विजया दशमीको हार्दिक मंगलमय शुभकामना व्यक्त गर्दछु। नेपाल पञ्चाङ्ग निर्णयक समितीद्वारा आज असोज तदनुसार - बिहान : बजे काठमाडौंका लागि,",0
10017,निर्वाचन आयोगको आचारसंहिता पत्रकारहरुले मान्न जरुरी छैनः अध्यक्ष पोखरेल,0
10019,नेपाली जती,0
10021,"नेपाली कांग्रेस माओवादी पार्टी हो ।शेरबहादुरले कांग्रेसलाई माओ खाओमा विलय गरेका छन्कांग्रेसले आफ्नो अखण्डता, इज्जत र अस्तित्व समेत गुमाएको छजगनाथ पौडेललाई यही छद्म कांग्रेसले निष्कासन गरेको थियोआगामी दिनमा कांग्रेसको अस्तित्व समाप्त हुनेछ ",0
10024,"निर्वाचन जित्नेहरुमा उमंग हुनुपर्छ,उन्माद होइन ।चुनाव जितेपछी चाकडीवाजबाट अलग हुनुपर्छ,जनताबाट होइन । सपनामा उडन्ते कुरा गर्न छाड्नुपर्छ,भुइँ होइन । जनताको जीवनस्तर उठाउनुपर्छ,चुनाव खर्च होइन ।नत्र अहिले तपाईं या तपाईकालाई जिताउन सक्ने जनताले हराउन पनि जानेका छन् ।चेतना भया !!!",0
10025,श्रीलङ्काका प्रधानमन्त्री राजापाक्षले राजीनामा दिने,0
10026,"एस्पाली भोट हाल्न पाइएन हजुर। नत्र म नि चितवन जान्थे, भुइकटरमा भोट हाल्थे। ",0
10027,त्यसो त एक भोट मनैदेखि,0
10028,"निर्वाचन विचारको लडाइँ हो, घोषणापत्रको लडाइँ हो, उनले भने, तर ठूला भनिएका ती दलहरु जित्नकै लागि विपरित उद्देश्य राखेका राजनीकित दलहरुसँंग पनि घाँटी जोडदै गठबन्धनमा लागेका छन्।'",0
10030,रंगमति शाही हुम्ला खर्पुनाथ गाउँपालिका– को वडा अध्यक्षमा निर्विरोध निर्वाचित भएकी छिन् ।अन्य दुई दाबेदारले उम्मेदवारी फिर्ता लिएसँगै उनी जिल्लाबाटै पहिलो महिला वडाअध्यक्षमा निर्वाचित भएकी हुन् ।,0
10032,भाउजुले मेयर जितिन् भने म नेपाल छोड्दिन्छु,0
10033,एउटा हात्ती को नोट ले भोट पाउँदैन,0
10034,निर्वाचन आयोगलाइ भनेर आजै प्रमाणपत्र दिन छबिलाल र सेरबहादुर लाई ज्ञापन पत्र नबुझाको,0
10036,शुद्ध नेपाली लेखौ ।,0
10037,लमजुङको मध्यनेपाल नगरपालिका प्रमुखमा कांग्रेसका पाण्डे विजयी,0
10039," एमाले = निच, निकृष्ट, अहंकारी, स्वार्थी, झुटा आदी",0
10040,निर्वाचन अवधिभर बैतडीमा मदिरा बिक्री वितरण गर्न रोक लगाएको छ।,0
10041,धनगढी उपमहानगरपालिकाको प्रमुखमा दश जनाको उम्मेदवारी,0
10043,"उम्मेदवारलाई पोष्टर, भित्ते लेखन नगर्न निर्वाचन आयोगको निर्देशन, गरे उम्मेदवारी रद्द ",0
10044,"नेपालको पहिलो निर्वाचन सालको आम निर्वाचनमा मन्त्रिपरीषदका अध्यक्ष नेपाली काँग्रेसका नेता सुवर्ण शमशेर थिए, आजसम्मको पछिल्लो निर्वाचन - स्थानिय निर्वाचन आज संपन्न हुँदैछ र प्रधानमन्त्री काँग्रेस सभापति शेरवहादुर देउवा छन् !कम्युनिष्टले निर्वाचन गराएको रेकर्ड छैन नेपालमा!",0
10046,धरानमा एमालेबाट निर्वाचित वडाध्यक्ष समाजवादीमा प्रवेश,0
10047,होनि हलोमा भोट हाले पो भलो हुन्छ त्,0
10048,भक्तपुरमा कांग्रेस र एमालेले टुंग्याए उम्मेदवारी (नामसहित),0
10050," डिजिटल तराज़ू को ज़मानामा तपाईको अदक्ष एस्तो तराज़ूको कुरा गर्नु हूँछ के भोट दिनु खै ?? पंचायत, राजा , हिन्दू राज्य चाहिने नया पंचे पार्टीलाई ज़मानत जफत हुने गरी बढ़ारौ । ",0
10051,"नेपाली कांग्रेसबाट टिकट नपाए पछि बागी उठेका सुनसरी जिल्लाको रामधुनीनगरपालिका वडा नम्बर को वडाध्यक्ष उम्मेदवार गणेशबहादुर पौडेललाई काङ्ग्रेस नेताले बारम्बार धम्की दिएका कारण झुन्डिएर आत्महत्या गरेका छन् धनराज गुरुङ्, गगन थापा र विश्वप्रकाश शर्मा यही हो तपाईंहरुको टिउसन",0
10053,हार्दिक निमन्त्राणानेपाली काङ्ग्रेसका महामन्त्री आदरणिय गगन थापा ज्युको प्रमुख आतिथ्यमा स्थानीय तह निर्वाचन अभियान र सम्पर्क समितिहरूको भूमिका' बारे कार्यक्रम हुदै ।समय: आज दिउँसो बजेस्थान : अनुपम फुडल्यान्ड बत्तीसपुतलिजय नेपाल,0
10054,नुवाकोट शिवपुरी गाउँपालिका वडा नं गाउँपालिका अध्यक्ष उपाध्यक्ष नेपाली काँग्रेस गोबिन्द थपलिया-इन्दिरा खड्का-गठबन्धनपदम उप्रेती-विर बहादुर तामाङ-नेकपा एमाले जितेन्द्र बिष्ट-मंगलामाया प्रजापती-वडा अध्यक्षनेपाली काङ्ग्रेस माओवादी केन्द्र,0
10056,"देउवा र पौडेललाई जगन्नाथको प्रश्न : डडेल्धुरामामा भाँडभैलो छ, तनहुँमा त्यस्तै छ, अनि भरतपुर आएर मलाई त्यही केटी चाहिन्छ भन्ने हैट !!! जगन्नाथ त वक्रोक्तिमा पनि डेन्जर पो रैचन् गांठे !!!",0
10058," आउने हो दाई,  सकेसी आफ्नै देशमा केही गर्ने हो। ढाई साल अझै, इंडिया बस्न थाले को सिल्भर जुबिली हुने भो। एउटा कुरा के भने, यो आफु नेपाल न हुँदा आफ्नो नाम मा अर्को ले भोट हाल्ने गरेको कसरी अंत गर्न सकिन्छ हो दाई? नागरिकता घर छ, मतदाता परिचयपत्र यहाँ छ, तर नाम को भोट झरी सकेछ।",0
10059,यहि बैशाख गते हुन गइरहेको स्थानीय निर्वाचनमा नेपाली काङ्ग्रेसका युवा नेता युवाहरु को ढुकढुकि पर्मेश्वर खनाललाई रुख चिन्नमा मतदान गरि अत्यधिक मतले बिजय गराइदिनुहुन आदरणीय वडवासि सम्पुर्ण आमाबुबा दाजुभाइ दिदिबहिनीहरुमा हार्दिकता पुर्ण अपिल गर्दछु । जय नेपाल,0
10060,यस्ता छन् टोखा नगरका लागि मेयर उम्मेदवार रजनी थापाले अघि सारेका विकास योजना,0
