index,tweet,label
28715,"@salokya अन्तिममा जाने लैरो हेर्ने भोट हाल्ने जे होला होला यस पटक,",0
21760,"तपाईंहरु नेतृत्वको कमजोरी ढाकछोप गर्न लागि पर्नुभयो । जनमतको अपमान गर्दै संसद बिघटनलाई ठीक भन्नुभयो । जनताका आम मुद्धाहरुलाई गिज्याउँदै, बिचौलिया र भ्रष्टाचारीहरुलाई संरक्षण गर्नुभयो । 

जो जितेर गएका छन, उनीहरुप्रति संशय बाँकी नै छ ।
हामी निरन्तर प्रश्न गरिरहनेछौ । #NoNotAgain https://t.co/80aHB1c7ri",0
19848,"जरूर देखिए -
#DDConclave में 'पूर्वांचल का चुनावी दंगल' आज दोपहर 3 बजे, गोरखपुर से सजीव प्रसारण डीडी यूपी, @DDNewsHindi और @dduttarakhand पर।

:play_button: https://t.co/ADDKPqaPPN

#PurvanchalKaChunaviDangal #KitnaBadlaUPwithDD
#UPElections2022 #UttarPradeshElections2022 https://t.co/jxYKaRDhwH",0
34463,नेपाली र भारतीय सेनाबीचको सम्बन्ध नयाँ उचाइमा पुग्ने प्रधानसेनापति शर्माको विश्वास https://t.co/jN7Ue67CBF,0
20055,"#UPElections2022 में 'दलितों के दिल में क्या है?' 2022 के चुनाव में कौशांबी  के दलित किसके सिर पर सजाएंगे ताज देखें, #NewsNation की ग्राउंड रिपोर्ट,शाम 4.40 बजे, @_poojaLive के साथ।

#ElectionWithNN #DalitKeDilMeinKyaHai #UPWantsBSP #UttarPradeshElections2022   @Mayawati https://t.co/SGltIfVx6S",0
20231,"अलीगढ़, कैराना, हापुड़, मैरठ और मुज़फ़्फ़र नगर में कैसा है पोलिंग बुथ के बाहर का माहौल, ग्राउंड ज़ीरो से बता रहे हैं हमारे संवाददाता @arunsingh4775 @mjaved819 @ritikasinghs  @ravikthakur   

#UPElections2022 #YogiAdityanath #UttarPradeshElections2022
 #Assemblypolls https://t.co/uRW7t9aIDD",0
36211,"हाम्रो झापा सम्वाददाता @update0__ भन्नुन्छ , ""हेत्तेरि !!!: बरु घरघरमा गएर कस्लाई भोट हालेको सोधेर गन्दा छिटो हुन्छ होला """,0
25748,"@RealHimalsh92 अब हामी मेयरमा उठ्दा चाहिँ इलेक्ट्रोनिक्स भोटिङ मेसिन ल्याउनु पर्छ , भोट खसाल्दै छ काउन्ट हुँदै छ :smiling_face_with_heart-eyes:",0
25762,नेकपा (एमाले)ले आगामी वैशाख ३० गते हुने स्थानीय तह निर्वाचनमा हरेक मतदानस्थलमा २०० जनाका दरले स्वयंसेवक परिचालन गर्ने भएको छ । https://t.co/FUDPkLM9sU,0
30657,वीरेन्द्रनगर नगरपालिका वडा नं. १३ को मत गणना सुरू ।,0
