,index,tweet,label
0,50000,@me_sherya सक्छ। यो जाबो एमाले त मलाई मनै पर्दैन।,1
1,50001,"‘धार्मिक भावनाएँ भड़का कर दंगे करवाना चाहते हैं ओवैसी, हिन्दुओं को नाहिद हसन जैसे लोग दे रहे हैं धमकियाँ’: करणी सेना ने दर्ज करवाई शिकायत

#Owaisi #Karnisena #UttarPradeshElections2022

https://t.co/wFKDRCF0Ny",0
2,50002,@belakoboli ये ट्वाके अङ्कल ओलि देउवा  माकुने  पुकदा मा के फरक देखेका छौ  ।  यी  सबै  उहीँ ड्याक मुला हुन के को ओलि मात्र बिरोध  गर्छौ।,0
3,50003,"@suvashsanatani यिनिहरुले बाटो, पुल, स्कुल, बिल्डिङहरुमा बम हाने, ध्वस्त बनाए, बाल बच्चा अपहरण गरे, १७००० नेपाली मारे र आफुले करोडौ अरबौ पैसा लुटेर मोजमस्ती गरे, तर वेवकुफ जनता इन्लाई नै मान्छन, इन्कै पछीलाएर हिड्छन। जनता नै उल्लु, बुद्धिहिन, लोभि, पापी परे पछी के लाग्छ?",2
4,50004,हिजो पार्टी मा ओलिले एकलौटि गर्‍यो भनेर स्याल हुइया मच्चाउने  र पार्टी धुजा धुजा पार्ने हरु आज देउवा लाई एकलौटि निर्णय गर्न उक्साइरहेका छन |,0
5,50005,माकुनेपछि बर्बराउने पालो बाबुराम भटटराईको रहेछ भटटराईका अनुसार काङ्ग्रेस र माओवादीले सेटिङ मिलाएर चुनाव जिते रे अनि यो सेटिङ मिलाउन सहयोग गर्ने बेलामा बुद्धिमा बिर्को लागेको थियो?,0
6,50006,"सत्तारुढ गठबबन्धन झाडीमा जन्मिएको हो, कसले जन्मायो भन्ने खुलेको छैन: अध्यक्ष ओली https://t.co/HHOOXv7zEP",1
7,50007,"~काम कुरो छोडेर भोट गणना स्थलमा डेरा जमाउनेहरूलाई के भन्नु हुन्छ ?
***
~आफ्नो निष्ठामा अडिग ।

~समाजप्रती उत्तरदायी । 

~चाचु(चाकडी चाप्लुसीमा लिप्त) ।         
 
~झोले कार्यकर्ता । 

~माथिका सबै । 

~कुनै पनि हैनन् । 

आ-आफ्नो मत राख्नुस् ल ।",0
8,50009,"फटाहा @thapagk!
तपाइलाई जनताले किन विश्वास गर्नुपर्ने?
#nonotagain",0
9,50010,"कांग्रेसलाई सरकारमा पुर्याउनु गल्ती भए, मैले गल्ती गरेकै हूँ: प्रधानमन्त्री देउवा
#dekhapadhi 
https://t.co/YZq2pFZGDX",1
10,50011,"प्रचण्डकी बुहारीद्वारा मौन अवधि उल्लंघन, झण्डावाल गाडी चढेर मागिन् भोट - NepalWatch https://t.co/Cc8ynNPBhY #NepalWatch #Kathmandu",0
11,50014,मिथिलामा एमाले विवाद उत्कर्षमा : बैठकमै रघुवीर महासेठलाई हुलहुज्जत https://t.co/i7hu55ftpS,1
12,50015,"झापाको कचनकवलमा राप्रपालाई कमजोर बनाउन सत्तारूढ गठबन्धन र प्रतिपक्षी गठबन्धनको साझा गठबन्धन नै बनाउनु परेको थियो । कांग्रेस-एमाले-माओवादीको कायरताको पराकाष्ठा !
https://t.co/h9uwK23Ei7",1
13,50016,"यह सारे गुंडे मवाली भाजपा ज्वाइन कर लिए है क्या ? सारे प्रवक्ता, मंत्री सड़क छाप , चौराहे छाप भाषा का इस्तेमाल करते है । शर्म आनी चाहिए।
#UttarPradeshElections
#UttarakhandElections2022",1
14,50019,"भाजपा+कांग्रेस ""भाड़ू""
पंजाब में चल गई झाड़ू
#PunjabElections2022 https://t.co/AngnBHSiQo",1
15,50020,"साहब को गरीबो से इतना प्यार है के वोह देश में गरीबो की सँख्या बढ़ाते जा रहे है, जब गरीब बढ़ेंगे तब ही तो साहब गरीबो के लिए कल्याण कारी योजना लाएंगे #UPElections2022 #ModiInParliament #GoaElections2022",0
16,50021,"सूर्यमा छाप लाउने, बिटुलो भएँ भनेर सुनपानी छर्किएर चोखो हुने, फेरि आफ्नै पार्टी कांग्रेस वा माओवादीमा फर्कने: केशव स्थापित
जनतालाई नर्क जाने बाटो बताएका होलान् ।",0
17,50022,"@Online_khabar महाकाली राष्ट्रघात गर्न सघाउने-ओली एमाले 
अमेरिकी MCC संसदमा घुसाउने-ओली एमाले 
दुई तिहाइको सरकार तूहाउने-ओली एमाले 
नेकपा र बामपन्थी एकता फुटाउने - ओली एमाले
सँसद बिघटन र प्रतिगम गर्ने-ओली एमाले 
देशलाई पराधिन र परनिर्भर बनाउने काङ्रेश - एमाले
भ्रस्टचारको किर्तिमानी - ओली एमाले",1
18,50023,"#NoNotAgain 
मङ्सिर चार , नो भोट फर यी उम्मेदवार @ECNOfficial https://t.co/vneYFYOctd",0
